strategy,profile_size,recall@10,recall@50,coverage@10,fit_seconds,latency_p50_ms,latency_p95_ms,n_users
popularity,0,0.0571593803492934,0.1920203235478026,0.0025753283543651,0.0,0.17,0.2,1000
popularity,1,0.0552661818322613,0.1883004385949129,0.0028328611898017,0.0,0.17,0.21,1000
popularity,3,0.052653385568942,0.1836194711739842,0.0033479268606747,0.0,0.18,0.21,1000
popularity,5,0.0507741525561222,0.1802785486825273,0.0036054596961112,0.0,0.17,0.2,1000
demo-pop,0,0.0599435163051396,0.2025627567056552,0.0097862477465876,0.04,0.14,0.18,1000
demo-pop,1,0.0589682438707783,0.1993138566191896,0.0100437805820242,0.04,0.14,0.18,1000
demo-pop,3,0.0572919223618852,0.1946466005811193,0.0113314447592068,0.04,0.15,0.18,1000
demo-pop,5,0.0559089418359602,0.1915638526686757,0.0121040432655163,0.04,0.14,0.18,1000
content,1,0.0126509512218834,0.0364529314968835,0.3345351532320371,0.02,0.91,1.24,1000
content,3,0.0140889802943364,0.0450782087414347,0.3291269636878702,0.02,0.95,1.09,1000
content,5,0.0179059038379216,0.0523996223339249,0.3074942055112026,0.02,0.88,0.98,1000
item2vec,1,0.0119205463040341,0.0425310087361934,0.4782384754056142,1.83,0.73,0.79,1000
item2vec,3,0.0075389461646402,0.0344583271238666,0.3803759979397373,1.83,0.72,0.79,1000
item2vec,5,0.0071897257952815,0.0358795590075488,0.2979654906000515,1.83,0.71,0.78,1000
als-foldin,1,0.0286482146323552,0.101872537500111,0.1586402266288951,0.55,0.19,0.5,1000
als-foldin,3,0.0386180031507616,0.1265254096448853,0.1200103013134174,0.55,0.18,0.25,1000
als-foldin,5,0.0477166562036571,0.1516094559961986,0.1053309296935359,0.55,0.18,0.25,1000
